datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,energy_consumption,energy_consumed,battery,battery_corrected_voltage,temp,temp_motor,temp_batt,temp_cpu,temp_imu,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2026-03-19T13:43:32.016+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,,232.03,-0.28,,-65,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:31.234+0100,1,1,0.000,48.0989517,-2.1153767,3.06,3.06,3.06,3.06,70.0,319,5,,euc.distance=0
2026-03-19T13:43:32.449+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,0.00,232.03,-0.28,,-65,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:32.500+0100,1,1,0.000,48.0989233,-2.1153667,1.09,2.07,3.06,3.06,71.6,320,2,,euc.distanceUser=218.42
2026-03-19T13:43:32.928+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,0.00,232.03,-0.22,,-51,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:32.500+0100,2,1,0.000,48.0989233,-2.1153667,1.09,2.07,3.06,3.06,71.6,320,2,,euc.distanceTotal=220.75
2026-03-19T13:43:33.416+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,0.00,232.04,-0.24,,-56,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:33.500+0100,2,1,0.000,48.0989083,-2.1153633,0.50,1.55,3.06,3.06,72.7,288,2,,euc.energyConsumedTotal=6686.8
2026-03-19T13:43:33.856+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,0.00,232.03,-0.24,,-56,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:33.500+0100,3,1,0.000,48.0989083,-2.1153633,0.50,1.55,3.06,3.06,72.7,288,2,,euc.energyConsumptionTotalAvg=30.3
2026-03-19T13:43:36.081+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,0.00,232.00,-0.29,,-67,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:36.000+0100,5,1,0.000,48.0988900,-2.1153617,0.32,1.10,3.06,3.06,75.2,231,2,,euc.firmware=1.9.130
2026-03-19T13:43:36.099+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,0.00,232.00,-0.29,,-67,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:36.000+0100,5,1,0.000,48.0988900,-2.1153617,0.32,1.10,3.06,3.06,75.2,231,2,,euc.firmwareBattery1=2.2.76
2026-03-19T13:43:39.215+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,0.00,232.01,-0.38,,-88,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:39.000+0100,8,1,0.000,48.0988833,-2.1153700,0.66,0.85,3.06,3.06,76.2,103,2,,euc.firmwareBattery2=2.2.76
2026-03-19T13:43:39.245+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,0.00,232.01,-0.38,,-88,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:39.000+0100,8,1,0.000,48.0988833,-2.1153700,0.66,0.85,3.06,3.06,76.2,103,2,,euc.firmwareBluetooth=1.4.34
2026-03-19T13:43:39.871+0100,0,0,0.000,220.750,0.00,0.00,0.00,0.00,54.00,0.00,232.01,-0.28,,-65,,,100,,18,23,18,,21,100,,-59.3,0.0,,,0,2026-03-19T13:43:40.000+0100,9,1,0.000,48.0988767,-2.1153583,0.90,0.85,3.06,3.06,77.1,77,2,,euc.firmwareInverter=8.3.37
