date,time,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2026-02-10,09:32:13.703,0.00,82.44,0.10,0.00,0.00,0.00,0.00,100,0,0,14,0,0.00,0.00,,
2026-02-10,09:32:14.041,0.00,131.90,0.10,0.00,0.00,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:15.222,0.00,131.80,0.10,0.11,14.50,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:16.755,0.00,131.80,0.50,0.00,-5.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:16.755,0.00,131.80,0.50,0.00,-5.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:17.365,0.00,131.80,0.20,0.00,-25.04,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:17.365,0.00,131.80,0.20,0.00,-25.04,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:17.848,0.00,131.80,0.30,0.00,-11.86,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:17.848,0.00,131.80,0.30,0.00,-11.86,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:18.577,0.00,131.80,0.40,0.00,-23.72,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:18.577,0.00,131.80,0.40,0.00,-23.72,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:19.185,0.00,131.80,0.20,0.00,-5.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:19.185,0.00,131.80,0.20,0.00,-5.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:19.366,0.00,131.80,0.10,0.00,-38.22,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:20.333,0.00,131.80,0.30,-0.14,-18.45,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:20.333,0.00,131.80,0.30,-0.14,-18.45,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:20.333,0.00,131.80,0.30,-0.14,-18.45,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:21.019,0.00,131.80,0.20,0.00,-34.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:21.019,0.00,131.80,0.20,0.00,-34.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:21.631,0.00,131.80,0.60,0.00,-43.49,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:21.631,0.00,131.80,0.60,0.00,-43.49,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:22.110,0.00,131.80,0.00,0.00,-34.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:22.110,0.00,131.80,0.00,0.00,-34.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:22.417,0.00,131.80,0.60,0.00,-22.41,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:23.370,0.00,131.80,0.60,-0.11,-14.50,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:23.370,0.00,131.80,0.60,-0.11,-14.50,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:23.370,0.00,131.80,0.60,-0.11,-14.50,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:23.930,0.00,131.80,0.50,0.00,-23.72,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:23.930,0.00,131.80,0.50,0.00,-23.72,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:24.669,0.00,131.80,0.00,0.00,-14.50,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:24.669,0.00,131.80,0.00,0.00,-14.50,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:25.270,0.00,131.80,0.10,0.00,-30.31,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:25.270,0.00,131.80,0.10,0.00,-30.31,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:25.771,0.00,131.80,0.30,0.00,2.64,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:25.771,0.00,131.80,0.30,0.00,2.64,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:26.488,0.00,131.80,0.20,0.00,14.50,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:26.488,0.00,131.80,0.20,0.00,14.50,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:27.104,0.00,131.80,0.00,0.00,0.00,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:27.104,0.00,131.80,0.00,0.00,0.00,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:27.595,0.00,131.80,0.30,0.00,-29.00,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:27.595,0.00,131.80,0.30,0.00,-29.00,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:28.321,0.00,131.80,0.90,0.00,-26.36,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:28.321,0.00,131.80,0.90,0.00,-26.36,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:28.932,0.00,131.80,0.10,0.00,-29.00,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:28.932,0.00,131.80,0.10,0.00,-29.00,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:29.412,0.00,131.80,0.40,0.00,-5.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:29.412,0.00,131.80,0.40,0.00,-5.27,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:30.144,0.00,131.80,0.40,0.00,-26.36,0.00,0.00,100,0,0,14,11,0.00,0.00,,
2026-02-10,09:32:30.144,0.00,131.80,0.40,0.00,-26.36,0.00,0.00,100,0,0,14,11,0.00,0.00,,
